"Protein ID","p2d1","p2d2","p2d3","p2d4","p2d5","p2d6","p2d7","p2d8"
"sp|P13473|LAMP2_HUMAN",0.00055112,0.000788248,0.000915294,0.001238513,0.000602828,0.000401674,0.000641446,0.000344585
"sp|P01781|HV320_HUMAN",0.001158704,0.000561083,0.000971054,0.000658327,0.002118261,0.001606156,0.002106439,0.001368362
"sp|P28838|AMPL_HUMAN",0.000923264,0.00018834,0.001769342,0.001750953,0.000266003,0.000209307,0.000243504,0.001699978
"sp|Q8IVL8|CBPO_HUMAN",0.000243512,0.000520232,0.00048387,0.001204516,0.000200356,0.0001705,"8.19757E-05",0.000213772
"sp|Q53GD3|CTL4_HUMAN",0.00010068,0,0,0,0,0.000116438,"8.63632E-05",0.000224184
"sp|O95497|VNN1_HUMAN",0,0,0,0.000987989,0.000256275,0.000289487,"3.00681E-05",0
"sp|P16233|LIPP_HUMAN",0.000200143,0,0,0,0.000473413,0.000664218,0.000798426,0.000855437
"sp|Q9Y6X5|ENPP4_HUMAN",0.000201045,0.000500089,0.000480975,0.00043194,0.000278938,0.000269077,0.000218833,0.000352983
"sp|P01613|KV121_HUMAN",0.001838873,0,0,0,0.000837307,0.000738131,0.001230979,0.002140454
"sp|P09525|ANXA4_HUMAN",0.002038213,0.000713728,0.000636966,0.002486504,0.002502795,0.000764785,0.000764941,0.000250629
"sp|P80748|LV302_HUMAN",0.000820481,0.000874403,0.000203941,0.000343991,0.001597626,0.001338719,0.001167563,0.000720276
"sp|Q9UKN1|MUC12_HUMAN",0,0,0,0,0,"2.43756E-06",0,"2.16162E-05"
"sp|O14983|AT2A1_HUMAN",0.000179683,0.000678792,"9.00964E-05",0,0.000163587,0.000126752,"8.02144E-05",0.000619193
"tr|Q6ZVX0|Q6ZVX0_HUMAN","4.88849E-05",0,0,0.000237168,0.000283175,0.000387011,0.00035374,0.000119621
"sp|P09848|LPH_HUMAN",0,0,"8.55172E-05","9.01655E-05",0.000187901,0.000548581,"8.69767E-05",0
"sp|P01857|IGHG1_HUMAN",0.00055196,0,0.001159066,0,0.00068784,0.000989533,0.000786609,0.000789018
"sp|O00391|QSOX1_HUMAN",0,0.000130855,0.000211645,0.000259398,0.000196512,"6.66117E-05","2.06492E-05",0.000478563
"tr|A0A075B6R9|A0A075B6R9_HUMAN",0.002061835,0.001079011,0.001817196,0.003905464,0.003325535,0.001589475,0.001210128,0.001332511
"tr|Q6GMX6|Q6GMX6_HUMAN","9.33288E-05",0,0,0,0.000352152,0.000343636,0.000238309,"4.25655E-05"
"sp|P01772|HV311_HUMAN",0.00144561,0,0.000178221,0.001227267,0.001705379,0.001117426,0.001573517,0.001269058
"sp|P01780|HV319_HUMAN",0.000584926,0.000563079,0,0,0.000979336,0.001139961,0.000667329,0.000695223
"sp|P01597|KV105_HUMAN",0.001943319,0,0,0,0.000865553,0.001653733,0.001699737,0.000935964
"sp|Q9H3R2|MUC13_HUMAN","9.31162E-05",0,0,0,0,0,"5.98807E-05",0.000308592
"tr|Q6N089|Q6N089_HUMAN",0.000050569,0,0,0,0.000386856,0.000518073,0.00040489,0.00021287
"sp|P51688|SPHM_HUMAN",0.000462487,0.000645642,0.000238081,0.00061986,0.000227518,0.000216395,0.000122527,0.000282553
"sp|P08473|NEP_HUMAN",0.000359614,0.00004323,0,0,0.00013437,0.000556162,0.000326774,0.000429914
"sp|P13798|ACPH_HUMAN",0.000118574,0.00057434,0.000431468,0.000533314,0.000414884,0.000493873,0.000401425,0.000873712
"sp|P04430|KV122_HUMAN",0.001483994,0,0,0,0.000695207,0.0016798,0.000851637,0.000544604
"sp|Q14002|CEAM7_HUMAN",0,0,0,0,0,0,0,0
"sp|P01714|LV301_HUMAN",0,0,0,0,0.000347604,0.001894943,0.000567758,0.001841904
"sp|P12882|MYH1_HUMAN",0.000278582,0.000300273,"3.48371E-05",0,0.00006509,"5.92714E-05","6.69368E-05",0.000174825
"sp|Q10588|BST1_HUMAN",0.001069603,0.000408587,0.000141803,0.001464934,0.000198387,0.000341318,0.000588599,0.001062461
"sp|P01859|IGHG2_HUMAN",0.000558733,0.000497654,0.000758876,0.000658707,0.000700808,0.000392938,0.000749531,0.000366824
"sp|Q9NR71|ASAH2_HUMAN",0.000144806,0.000124894,"5.78119E-05",0.000148078,0.000113677,"8.17525E-05","3.93063E-05",0.000102501
"sp|P08218|CEL2B_HUMAN","8.00092E-05",0.00012053,0.000167633,0,0.000494645,0.000398574,0.000354605,0.000145072
"sp|P99999|CYC_HUMAN",0,0,0,0,0,0.001160876,0,0
"tr|Q6N091|Q6N091_HUMAN",0.000182147,0,0,"7.63659E-05",0.000341201,0.000371318,0.000358191,0.000159901
